id,fecha,loteria,p1,p2,p3,score,metodo,status,resultado,real_p1,real_p2,real_p3,pago,total_sorteos,chi2_significativo,mi_nivel,markov_confidence,top5,generado_en
p_20260501_033254,2026-05-01,Gana Más,78,59,24,56.85,Sistema,pending,,,,,,90,False,Baja,83,"78,59,24,54,81",p_20260501_0332
p_20260501_035729,2026-05-01,Gana Más,23,46,20,59.9,Sistema,pending,,,,,,1869,False,Baja,16,"23,46,20,64,06",p_20260501_0357
p_20260501_040529,2026-05-01,Gana Más,23,46,20,59.9,Sistema,pending,,,,,,1869,False,Baja,69,"23,46,20,64,06",p_20260501_0405
p_20260501_041049,2026-05-01,Gana Más,23,46,20,59.9,Sistema,pending,,,,,,1869,False,Baja,69,"23,46,20,64,06",p_20260501_0410
p_20260501_164501,2026-05-01,Gana Más,23,46,20,59.9,Sistema,pending,,,,,,1869,False,Baja,69,"23,46,20,64,06",p_20260501_1645
p_20260501_164504,2026-05-01,Nacional Noche,80,61,87,60.52,Sistema,pending,,,,,,1849,False,Baja,69,"80,61,87,37,50",p_20260501_1645
p_20260501_194243,2026-05-01,Nacional Noche,80,61,87,60.52,Sistema,pending,,,,,,1849,False,Baja,69,"80,61,87,37,50",p_20260501_1942
p_20260501_203938,2026-05-01,Nacional Noche,80,61,87,60.52,Sistema,pending,,,,,,1849,False,Baja,69,"80,61,87,37,50",p_20260501_2039
p_20260502_163711,2026-05-02,Gana Más,64,60,65,61.96,Sistema,pending,,,,,,1870,False,Baja,99,"64,60,65,37,23",p_20260502_1637
p_20260502_202900,2026-05-02,Nacional Noche,61,13,59,53.54,Sistema,pending,,,,,,1850,False,Baja,99,"61,13,59,77,87",p_20260502_2029
p_20260503_163813,2026-05-03,Gana Más,20,40,29,63.34,Sistema,pending,,,,,,1871,False,Baja,99,"20,40,29,64,46",p_20260503_1638
p_20260503_202953,2026-05-03,Nacional Noche,61,11,84,52.56,Sistema,pending,,,,,,1851,False,Baja,99,"61,11,84,17,59",p_20260503_2029
p_20260504_172254,2026-05-04,Gana Más,20,23,01,65.8,Sistema,pending,,,,,,1872,False,Baja,96,"20,23,01,36,64",p_20260504_1722
